CID	GenericName	ATC	AdmR
2369	betaxolol	C07AB05	O
2366	betahistine	N07CA01	O
5029	rabeprazole	A02BC04	O
2585	carvedilol	C07AG02	O
39860	nabilone	A04AD11	nan
4440	naratriptan	N02CC02	O
3724	iodixanol	V08AB09	nan
4449	nefazodone	N06AX06	O
2733525	tamoxifen	L02BA01	O
358641	sulfamethoxazole.and.trimethoprim	J01EE01	nan
4932	propafenone	C01BC03	O
4932	propafenone	C01BC03	P
70788982	pasireotide	H01CB05	P
5360373	bleomycin	L01DC01	nan
5578	trimethoprim	J01EA01	O
5578	trimethoprim	J01EA01	P
6058	mercaptamine	A16AA04	O
6058	mercaptamine	S01XA21	nan
125017	desvenlafaxine	N06AX23	O
62819	urofollitropin	G03GA04	P
21319	flucloxacillin	J01CF05	O
21319	flucloxacillin	J01CF05	P
71329	dofetilide	C01BD04	nan
60706	meropenem	J01DH02	P
5311101	fluticasone	D07AC17	nan
5311101	fluticasone	R03BA05	Inhal.aerosol
5311101	fluticasone	R03BA05	Inhal.powder
5311101	fluticasone	R03BA05	Inhal.solution
5311101	fluticasone	R01AD08	N
4594	omeprazole	A02BC01	O
4594	omeprazole	A02BC01	P
4595	ondansetron	A04AA01	O
4595	ondansetron	A04AA01	P
4595	ondansetron	A04AA01	R
2749	ciclopirox	G01AX12	nan
2749	ciclopirox	D01AE14	nan
4845	pirbuterol	R03AC08	Inhal.aerosol
4845	pirbuterol	R03CC07	O
33624	timolol	S01ED01	nan
33624	timolol	C07AA06	O
33624	timolol	C07AA06	P
168924	lanthanum.carbonate	V03AE03	O
25077649	nafarelin	H01CA02	N
6918289	temsirolimus	L01XE09	nan
16129672	pegvisomant	H01AX01	P
25081014	nesiritide	C01DX19	P
3042	dicycloverine	A03AA07	O
3042	dicycloverine	A03AA07	P
148192	atazanavir	J05AE08	O
5379	gatifloxacin	S01AE06	nan
5379	gatifloxacin	J01MA16	O
5379	gatifloxacin	J01MA16	P
44257	sapropterin	A16AX07	nan
446541	mycophenolic.acid	L04AA06	O
446541	mycophenolic.acid	L04AA06	P
5281006	cefprozil	J01DC10	O
5281004	budesonide	R03BA02	Inhal.aerosol
5281004	budesonide	R03BA02	Inhal.powder
5281004	budesonide	R03BA02	Inhal.solution
5281004	budesonide	A07EA06	O
5281004	budesonide	R01AD05	N
5281004	budesonide	D07AC09	nan
5362420	verteporfin	S01LA01	nan
5282381	misoprostol	A02BB01	O
5282381	misoprostol	G02AD06	V
23690938	piroxicam	M01AC01	O
23690938	piroxicam	M01AC01	P
23690938	piroxicam	M01AC01	R
23690938	piroxicam	M02AA07	nan
23690938	piroxicam	S01BC06	nan
31401	ursodeoxycholic.acid	A05AA02	O
5768	quinidine	C01BA01	O
4205	mirtazapine	N06AX11	O
27661	isosorbide.mononitrate	C01DA14	O
3958	lorazepam	N05BA06	O
3958	lorazepam	N05BA06	P
3958	lorazepam	N05BA06	SL
3957	loratadine	R06AX13	O
74989	atovaquone	P01AX06	O
6432	albumin	B05AA01	nan
5280453	calcitriol	A11CC04	O
5280453	calcitriol	A11CC04	P
5280453	calcitriol	D05AX03	nan
2724385	digoxin	C01AA05	O
2724385	digoxin	C01AA05	P
9579578	esomeprazole	A02BC05	O
9579578	esomeprazole	A02BC05	P
9578005	dexlansoprazole	A02BC06	O
22318	sodium.aurothiomalate	M01CB01	P
5462337	olsalazine	A07EC03	O
5284566	granisetron	A04AA02	O
5284566	granisetron	A04AA02	P
5284566	granisetron	A04AA02	TD
5284569	hydrocodone	R05DA03	O
38904	carboplatin	L01XA02	nan
23951	samarium.(153Sm).lexidronam	V10BX02	nan
969472	eszopiclone	N05CF04	nan
23957	technetium.(99mTc).exametazime	V09AA01	nan
5281107	doxercalciferol	H05BX03	nan
60953	capecitabine	L01BC06	nan
657180	leuprorelin	L02AE02	P
657180	leuprorelin	L02AE02	P
657180	leuprorelin	L02AE02	implant
56841124	salmeterol.and.fluticasone	R03AK06	nan
55891	fosinopril	C09AA09	O
2351	bepridil	C08EA02	O
11234049	tedizolid	J01XX11	O
11234049	tedizolid	J01XX11	P
5486971	pregabalin	N03AX16	O
3736	iopromide	V08AB05	nan
3730	iohexol	V08AB02	nan
2130	amantadine	N04BB01	O
5329098	romiplostim	B02BX04	P
24776445	vismodegib	L01XX43	nan
16850	fluorescein	S01JA01	nan
60772	valaciclovir	J05AB11	O
60774	tolterodine	G04BD07	O
62959	trovafloxacin	J01MA13	O
62959	trovafloxacin	J01MA13	P
4585	olanzapine	N05AH03	O
4585	olanzapine	N05AH03	P
4585	olanzapine	N05AH03	P
4583	ofloxacin	J01MA01	O
4583	ofloxacin	J01MA01	P
4583	ofloxacin	S02AA16	nan
4583	ofloxacin	S01AE01	nan
5493444	aliskiren	C09XA02	O
60606	clopidogrel	B01AC04	O
3559	haloperidol	N05AD01	P
3559	haloperidol	N05AD01	O
3559	haloperidol	N05AD01	P
33741	tramadol	N02AX02	O
33741	tramadol	N02AX02	P
33741	tramadol	N02AX02	R
4174	metyrapone	V04CD01	nan
16129665	secretin	V04CK01	nan
40703	pinaverium	A03AX04	O
29327	streptozocin	L01AD04	nan
598	mesna	R05CB05	Inhal
598	mesna	V03AF01	nan
72165	tropisetron	A04AA03	O
72165	tropisetron	A04AA03	P
5362129	ramipril	C09AA05	O
5362123	benazepril	C09AA07	O
3386	fluoxetine	N06AB03	O
3385	fluorouracil	L01BC02	nan
3380	flunitrazepam	N05CD03	O
3380	flunitrazepam	N05CD03	P
4212	mitoxantrone	L01DB07	nan
444	bupropion	N06AX12	O
5771	oxytocin	H01BB02	N
5771	oxytocin	H01BB02	P
5771	oxytocin	H01BB02	O
5775	phentolamine	C04AB01	O
5775	phentolamine	C04AB01	P
5775	phentolamine	V03AB36	nan
9926791	tofacitinib	L04AA29	O
26757	selegiline	N04BD01	O
24826799	ponatinib	L01XE24	nan
213039	darunavir	J05AE10	O
31307	triamcinolone	D07AB09	nan
31307	triamcinolone	A01AC01	nan
31307	triamcinolone	R03BA06	nan
31307	triamcinolone	C05AA12	nan
31307	triamcinolone	H02AB08	O
31307	triamcinolone	H02AB08	P
31307	triamcinolone	R01AD11	N
31307	triamcinolone	D07XB02	nan
31307	triamcinolone	S01BA05	nan
35370	zidovudine	J05AF01	O
35370	zidovudine	J05AF01	P
107969	fingolimod	L04AA27	O
44564107	mipomersen	C10AX11	nan
3899	leflunomide	L04AA13	O
11304743	riociguat	C02KX05	O
170361	varenicline	N07BA03	O
5284570	hydromorphone	N02AA03	O
5284570	hydromorphone	N02AA03	P
5284570	hydromorphone	N02AA03	R
24821094	ibrutinib	L01XE27	nan
5352019	paclitaxel	L01CD01	nan
4075	mesalazine	A07EC02	O
4075	mesalazine	A07EC02	R
3964	loxapine	N05AH01	O
3964	loxapine	N05AH01	Inhal.powder
3961	losartan	C09CA01	O
60946	tirofiban	B01AC17	P
3639	hydrochlorothiazide	C03AA03	O
3637	hydralazine	C02DB02	O
5360515	naltrexone	N07BB04	O
6435110	ivermectin	D11AX22	nan
6435110	ivermectin	P02CF01	O
9444	azacitidine	L01BC07	nan
41867	epirubicin	L01DB03	nan
3702	indapamide	C03BA11	O
4463	nevirapine	J05AG01	O
439693	pentostatin	L01XX08	nan
54454	simvastatin	C10AA01	O
3414	foscarnet	J05AD01	P
137	aminolevulinic.acid	L01XD04	nan
56959	ranolazine	C01EB18	O
5702160	famotidine	A02BA03	O
5702160	famotidine	A02BA03	P
11949646	empagliflozin	A10BK03	O
4485	nifedipine	C08CA05	O
4485	nifedipine	C08CA05	P
42113	desflurane	N01AB07	nan
3081361	vandetanib	L01XE12	nan
2907	cyclophosphamide	L01AA01	nan
16130965	ganirelix	H01CC01	P
5493381	deferasirox	V03AC03	nan
3033637	nizatidine	A02BA04	O
3033637	nizatidine	A02BA04	P
132971	abiraterone	L02BX03	O
9966051	vortioxetine	N06AX26	O
5362440	indinavir	J05AE02	O
5362118	lisinopril	C09AA03	O
3152	donepezil	N06DA02	O
3157	doxazosin	C02CA04	O
3158	doxepin	N06AA12	O
3158	doxepin	N06AA12	P
16136245	degarelix	L02BX02	P
5403	terbutaline	R03AC03	Inhal.aerosol
5403	terbutaline	R03AC03	Inhal.powder
5403	terbutaline	R03AC03	Inhal.solution
5403	terbutaline	R03CC03	O
5403	terbutaline	R03CC03	P
5401	terazosin	G04CA03	O
29029	clindamycin	G01AA10	V
29029	clindamycin	D10AF01	nan
29029	clindamycin	J01FF01	O
29029	clindamycin	J01FF01	P
6918313	vilazodone	N06AX24	nan
44567678	dalbavancin	J01XA04	P
441401	linezolid	J01XX08	O
441401	linezolid	J01XX08	P
115237	paliperidone	N05AX13	P
115237	paliperidone	N05AX13	O
60164	adapalene	D10AD03	nan
6604100	dantrolene	M03CA01	O
216235	sitaxentan	C02KX03	O
216239	sorafenib	L01XE05	nan
16131215	abarelix	L02BX01	P
159269	telbivudine	J05AF11	O
3883	lansoprazole	A02BC03	O
9578572	dabigatran.etexilate	B01AE07	O
5284543	dihydrocodeine	N02AA08	O
10324367	boceprevir	J05AP03	O
5311027	bimatoprost	S01EE03	nan
657237	fludarabine	L01BB05	nan
5360696	dextromethorphan	R05DA09	O
153994	clevidipine	C08CA16	nan
443872	eplerenone	C03DA04	O
154256	bazedoxifene	G03XC02	O
3002977	maraviroc	J05AX09	O
6005	apomorphine	G04BE07	SL
6005	apomorphine	N04BC07	P
43672	piperacillin	J01CA12	P
4679	pantoprazole	A02BC02	O
4679	pantoprazole	A02BC02	P
4673	pamidronic.acid	M05BA03	P
2249	atenolol	C07AB03	O
2249	atenolol	C07AB03	P
15951529	enzalutamide	L02BB04	O
31703	doxorubicin	L01DB01	nan
6918670	ingenol.mebutate	D06BX02	nan
60752	ibutilide	C01BD05	P
60751	temoporfin	L01XD05	nan
63009	sertraline	N06AB06	O
36462	etoposide	L01CB01	nan
9871419	ticagrelor	B01AC24	O
54840	atomoxetine	N06BA09	O
441335	mometasone	D07XC03	nan
441335	mometasone	R01AD09	N
441335	mometasone	D07AC13	nan
441335	mometasone	R03BA07	Inhal.powder
44462760	dabrafenib	L01XE23	nan
9651	galantamine	N06DA04	O
5090	rofecoxib	M01AH02	O
5095	ropinirole	N04BC04	O
4497	nimodipine	C08CA06	O
4497	nimodipine	C08CA06	P
2662	celecoxib	L01XX33	nan
2662	celecoxib	M01AH01	O
4499	nisoldipine	C08CA07	O
149096	levofloxacin	S01AE05	nan
149096	levofloxacin	J01MA12	O
149096	levofloxacin	J01MA12	P
3000226	fusidic.acid	D06AX01	nan
3000226	fusidic.acid	J01XC01	O
3000226	fusidic.acid	J01XC01	P
3000226	fusidic.acid	D09AA02	nan
3000226	fusidic.acid	S01AA13	nan
23668479	raltegravir	J05AX08	O
2802	clonazepam	N03AE01	O
2802	clonazepam	N03AE01	P
2803	clonidine	N02CX02	O
2803	clonidine	C02AC01	O
2803	clonidine	C02AC01	P
2803	clonidine	S01EA04	nan
2801	clomipramine	N06AA04	O
2801	clomipramine	N06AA04	P
5281037	eprosartan	C09CA02	O
3365	fluconazole	D01AC15	nan
3365	fluconazole	J02AC01	O
3365	fluconazole	J02AC01	P
2156	amiodarone	C01BD01	O
2156	amiodarone	C01BD01	P
115355	nitisinone	A16AX04	O
4274	technetium.(99mTc).tetrofosmin	V09GA02	nan
5556	triazolam	N05CD05	SL
5556	triazolam	N05CD05	O
9875401	rivaroxaban	B01AF01	O
5362070	balsalazide	A07EC04	O
108150	trabectedin	L01CX01	nan
129211	tamsulosin	G04CA02	O
5361917	methylnaltrexone.bromide	A06AH01	P
5282411	epoprostenol	B01AC09	nan
6445540	ixabepilone	L01DC04	nan
19090	megestrol	L02AB01	O
19090	megestrol	G03AC05	nan
19090	megestrol	G03DB02	O
3397	flutamide	L02BB01	O
166548	anidulafungin	J02AX06	P
55283	itraconazole	J02AC02	O
55283	itraconazole	J02AC02	P
60961	adenosine	C01EB10	P
4011	maprotiline	N06AA21	O
4011	maprotiline	N06AA21	P
65139	abacavir	J05AF06	O
449193	roflumilast	R03DX07	O
13559281	ulipristal	G03XB02	O
13559281	ulipristal	G03AD02	O
449171	alitretinoin	D11AH04	O
449171	alitretinoin	L01XX22	nan
444795	tretinoin	L01XX14	nan
444795	tretinoin	D10AD01	nan
65628	bendamustine	L01AA09	nan
11707110	trametinib	L01XE25	nan
6013	testosterone	G03BA03	O
6013	testosterone	G03BA03	R
6013	testosterone	G03BA03	P
6013	testosterone	G03BA03	TD
6013	testosterone	G03BA03	TD
6013	testosterone	G03BA03	SL
6018	tetrabenazine	N07XX06	O
2477	buspirone	N05BE01	O
2474	bupivacaine	N01BB01	nan
2471	bumetanide	C03CA02	O
2471	bumetanide	C03CA02	P
57469	imiquimod	D06BB10	nan
5152	salmeterol	R03AC12	Inhal.aerosol
5152	salmeterol	R03AC12	Inhal.powder
2478	busulfan	L01AB01	nan
60749	gemcitabine	L01BC05	nan
3083544	formoterol	R03AC13	Inhal.aerosol
3083544	formoterol	R03AC13	Inhal.powder
441193	levodopa	N04BA01	O
2789	clobazam	N05BA09	O
3034010	orlistat	A08AB01	O
10607	podophyllotoxin	D06BB04	nan
9916860	gadobutrol	V08CA09	nan
54891	quinapril	C09AA06	O
54891	quinapril	C09AA06	P
71386	clobetasone	S01BA09	nan
71386	clobetasone	D07AB01	nan
71384	dexrazoxane	V03AF02	P
9642	fluocinonide	D07AC08	nan
9642	fluocinonide	C05AA11	nan
3052775	rasagiline	N04BD02	O
387447	bortezomib	L01XX32	nan
36523	gonadorelin	V04CM01	nan
36523	gonadorelin	H01CA01	nan
176870	erlotinib	L01XE03	nan
466146	cidofovir	J05AB12	P
216326	lenalidomide	L04AX04	O
1983	paracetamol	N02BE01	O
1983	paracetamol	N02BE01	P
1983	paracetamol	N02BE01	R
6321408	buprenorphine	N02AE01	P
6321408	buprenorphine	N02AE01	SL
6321408	buprenorphine	N02AE01	TD
6321408	buprenorphine	N07BC01	SL
26275995	minocycline	J01AA08	O
26275995	minocycline	J01AA08	P
26275995	minocycline	A01AB23	O
168708	conjugated.estrogens	G03CA57	O
168708	conjugated.estrogens	G03CA57	V
2818	clozapine	N05AH02	O
2818	clozapine	N05AH02	P
18283	stavudine	J05AF04	O
10220503	tasimelteon	N05CH03	nan
5426	thalidomide	L04AX02	O
5288826	morphine	N02AA01	O
5288826	morphine	N02AA01	P
5288826	morphine	N02AA01	R
156391	naproxen	G02CC02	nan
156391	naproxen	M02AA12	nan
156391	naproxen	M01AE02	O
156391	naproxen	M01AE02	R
119182	clofarabine	L01BB06	nan
5526	tranexamic.acid	B02AA02	O
5526	tranexamic.acid	B02AA02	P
129228	rufinamide	N03AF03	O
9868491	tafluprost	S01EE05	nan
9854073	cabazitaxel	L01CD04	nan
11467166	aclidinium.bromide	R03BB05	Inhal.powder
5280754	ciclosporin	L04AD01	O
5280754	ciclosporin	L04AD01	P
5280754	ciclosporin	S01XA18	nan
